id,zone_id,name,geometry,operator,lon,lat
0,2766,King Soopers,POINT (-104.9395644 40.1590646),,-104.9395644,40.1590646
1,2795,Safeway,POINT (-104.9398122 40.1190351),,-104.9398122,40.1190351
2,2481,Target,POINT (-104.8561304 39.4077649),,-104.8561304,39.4077649
3,2547,King Soopers,POINT (-104.8644661 39.411646),,-104.8644661,39.411646
4,2547,Walmart Grocery,POINT (-104.8613299 39.4067659),,-104.8613299,39.4067659
5,2274,King Soopers,POINT (-104.8841017 39.6265093),,-104.8841017,39.6265093
6,2098,Haat Bazar,POINT (-104.8619989 39.6684672),,-104.8619989,39.6684672
7,2099,Bangla Bazaar,POINT (-104.8640561 39.6671953),,-104.8640561,39.6671953
8,1883,India Bazaar Asian Grocery,POINT (-104.8759726 39.7398719),,-104.8759726,39.7398719
9,1891,King Soopers,POINT (-104.8496238 39.7264622),,-104.8496238,39.7264622
10,1888,Save-a-Lot,POINT (-104.8442755 39.7270501),,-104.8442755,39.7270501
11,1888,Lek's Asian Market,POINT (-104.8461674 39.7285407),,-104.8461674,39.7285407
12,1875,King Soopers,POINT (-104.8680263 39.6959782),,-104.8680263,39.6959782
13,464,King Soopers,POINT (-105.0834881 39.8434178),,-105.0834881,39.8434178
14,470,Target,POINT (-105.0854321 39.8396027),Target,-105.0854321,39.8396027
15,465,Safeway,POINT (-105.0808075 39.8433591),,-105.0808075,39.8433591
16,1132,Safeway,POINT (-105.0274201 39.8297804),,-105.0274201,39.8297804
17,1118,,POINT (-104.9749143 39.8550339),,-104.9749143,39.8550339
18,754,Safeway,POINT (-105.3401695 39.6457021),,-105.3401695,39.6457021
19,2634,Georgetown Market,POINT (-105.6955006 39.7123996),,-105.6955006,39.7123996
20,770,King Soopers,POINT (-105.2920701 39.5443095),,-105.2920701,39.5443095
21,771,Safeway,POINT (-105.3034037 39.5272715),,-105.3034037,39.5272715
22,834,Safeway,POINT (-105.0721065 39.5801607),,-105.0721065,39.5801607
